Ileak	T	Leff
5.500245e-10	3.842724e+02	2.013061e-08
6.279577e-10	3.925378e+02	2.013061e-08
7.143124e-10	4.008031e+02	2.013061e-08
8.095646e-10	4.090684e+02	2.013061e-08
9.141841e-10	4.173337e+02	2.013061e-08
1.028634e-09	4.255990e+02	2.013061e-08
1.153371e-09	4.338643e+02	2.013061e-08
1.288842e-09	4.421296e+02	2.013061e-08
1.435489e-09	4.503949e+02	2.013061e-08
1.593745e-09	4.586602e+02	2.013061e-08
1.764034e-09	4.669255e+02	2.013061e-08
1.946774e-09	4.751908e+02	2.013061e-08
2.142374e-09	4.834561e+02	2.013061e-08
2.351239e-09	4.917214e+02	2.013061e-08
2.573766e-09	4.999867e+02	2.013061e-08
2.810348e-09	5.082520e+02	2.013061e-08
3.061374e-09	5.165173e+02	2.013061e-08
3.327239e-09	5.247827e+02	2.013061e-08
3.608330e-09	5.330480e+02	2.013061e-08
3.905061e-09	5.413133e+02	2.013061e-08
4.217881e-09	5.495786e+02	2.013061e-08
4.547324e-09	5.578439e+02	2.013061e-08
4.894108e-09	5.661092e+02	2.013061e-08
5.259329e-09	5.743745e+02	2.013061e-08
5.644858e-09	5.826398e+02	2.013061e-08
6.054123e-09	5.909051e+02	2.013061e-08
6.493600e-09	5.991704e+02	2.013061e-08
6.975670e-09	6.074357e+02	2.013061e-08
7.523911e-09	6.157010e+02	2.013061e-08
8.182821e-09	6.239663e+02	2.013061e-08
9.035316e-09	6.322316e+02	2.013061e-08
1.023378e-08	6.404969e+02	2.013061e-08
1.205429e-08	6.487622e+02	2.013061e-08
1.498986e-08	6.570276e+02	2.013061e-08
1.990822e-08	6.652929e+02	2.013061e-08
2.831546e-08	6.735582e+02	2.013061e-08
4.278890e-08	6.818235e+02	2.013061e-08
6.767781e-08	6.900888e+02	2.013061e-08
1.102197e-07	6.983541e+02	2.013061e-08
1.822892e-07	7.066194e+02	2.013061e-08
3.030914e-07	7.148847e+02	2.013061e-08
5.032304e-07	7.231500e+02	2.013061e-08
1.669787e-10	3.181500e+02	2.024082e-08
1.937658e-10	3.264153e+02	2.024082e-08
2.249974e-10	3.346806e+02	2.024082e-08
2.611233e-10	3.429459e+02	2.024082e-08
3.026026e-10	3.512112e+02	2.024082e-08
3.499016e-10	3.594765e+02	2.024082e-08
4.034913e-10	3.677418e+02	2.024082e-08
4.638447e-10	3.760071e+02	2.024082e-08
5.314367e-10	3.842724e+02	2.024082e-08
6.067408e-10	3.925378e+02	2.024082e-08
6.902257e-10	4.008031e+02	2.024082e-08
7.823584e-10	4.090684e+02	2.024082e-08
8.835999e-10	4.173337e+02	2.024082e-08
9.944053e-10	4.255990e+02	2.024082e-08
1.115223e-09	4.338643e+02	2.024082e-08
1.246494e-09	4.421296e+02	2.024082e-08
1.388651e-09	4.503949e+02	2.024082e-08
1.542122e-09	4.586602e+02	2.024082e-08
1.707323e-09	4.669255e+02	2.024082e-08
1.884666e-09	4.751908e+02	2.024082e-08
2.074555e-09	4.834561e+02	2.024082e-08
2.277388e-09	4.917214e+02	2.024082e-08
2.493556e-09	4.999867e+02	2.024082e-08
2.723446e-09	5.082520e+02	2.024082e-08
2.967443e-09	5.165173e+02	2.024082e-08
3.225934e-09	5.247827e+02	2.024082e-08
3.499300e-09	5.330480e+02	2.024082e-08
3.787951e-09	5.413133e+02	2.024082e-08
4.092329e-09	5.495786e+02	2.024082e-08
4.412962e-09	5.578439e+02	2.024082e-08
4.750561e-09	5.661092e+02	2.024082e-08
5.106215e-09	5.743745e+02	2.024082e-08
5.481790e-09	5.826398e+02	2.024082e-08
5.880703e-09	5.909051e+02	2.024082e-08
6.309425e-09	5.991704e+02	2.024082e-08
6.780327e-09	6.074357e+02	2.024082e-08
7.316981e-09	6.157010e+02	2.024082e-08
7.963872e-09	6.239663e+02	2.024082e-08
8.803909e-09	6.322316e+02	2.024082e-08
9.989465e-09	6.404969e+02	2.024082e-08
1.179660e-08	6.487622e+02	2.024082e-08
1.471832e-08	6.570276e+02	2.024082e-08
1.962235e-08	6.652929e+02	2.024082e-08
2.801475e-08	6.735582e+02	2.024082e-08
4.247283e-08	6.818235e+02	2.024082e-08
6.734585e-08	6.900888e+02	2.024082e-08
1.098713e-07	6.983541e+02	2.024082e-08
1.819238e-07	7.066194e+02	2.024082e-08
